Name,Political,Socialist,OriginalLanguage,wrote_English,wrote_German,wrote_French,wrote_Spanish,wrote_Italian,wrote_Greek,wrote_Latin,YearofPublication,YearofTranslationtoEnglish
Karl Marx,1,1,German,0,1,0,0,0,0,0,1867,1887
Abraham Lincoln,1,0,English,1,0,0,0,0,0,0,1861,1861
Adam Smith,1,0,English,1,0,0,0,0,0,0,1776,1776
Aeschylus,0,0,Greek,0,0,0,0,0,1,0,-456,1663
Aesop,0,0,Greek,0,0,0,0,0,1,0,-546,1484
Alessandro Manzoni,0,0,Italian,0,0,0,0,1,0,0,1827,1828
Alexander Hamilton,1,0,English,1,0,0,0,0,0,0,1787,1787
Alexander Pope,1,0,English,1,0,0,0,0,0,0,1711,1711
Amadeus Wendt,0,0,German,0,1,0,0,0,0,0,1836,
Ambroise Paré,0,0,French,0,0,1,0,0,0,0,1575,1634
Aquinas,0,0,Latin,0,0,0,0,0,0,1,1265,1911
Archibald Geikie,0,0,English,1,0,0,0,0,0,0,1875,1875
Aristophanes,0,0,Greek,0,0,0,0,0,1,0,-386,1655
Aristotle,1,0,Greek,0,0,0,0,0,1,0,-322,1600
Arnold Ruge,1,0,German,0,1,0,0,0,0,0,1846,
Auberon Herbert,1,0,English,1,0,0,0,0,0,0,1885,1885
August Bebel,1,1,German,0,1,0,0,0,0,0,1883,1885
Auguste Comte,0,0,French,0,0,1,0,0,0,0,1844,1865
Augustine,0,0,Latin,0,0,0,0,0,0,1,426,1871
Bakunin,1,1,French,0,0,1,0,0,0,0,1882,1883
Barthold Georg Niebuhr,0,0,German,0,1,0,0,0,0,0,1811,1827
Bastiat,1,0,French,0,0,1,0,0,0,0,1850,1867
Benjamin Constant,1,0,French,0,0,1,0,0,0,0,1816,1819
Benjamin Franklin,1,0,English,1,0,0,0,0,0,0,1793,1793
Bentham,1,0,English,1,0,0,0,0,0,0,1780,1780
Bernard Bolzano,0,0,German,0,1,0,0,0,0,0,1837,2014
Bigges,0,0,English,1,0,0,0,0,0,0,1586,1586
Blanqui,1,1,French,0,0,1,0,0,0,0,1866,1971
Bruno Bauer,0,0,German,0,1,0,0,0,0,0,1838,
Bruno Hildebrand,1,1,German,0,1,0,0,0,0,0,1848,
Carl Stumpf,0,0,German,0,1,0,0,0,0,0,1911,2012
Cellini,0,0,Italian,0,0,0,0,1,0,0,1563,1910
Cervantes,0,0,Spanish,0,0,0,1,0,0,0,1605,1620
Charles Darwin,0,0,English,1,0,0,0,0,0,0,1859,1859
Charles Fourier,1,1,French,0,0,1,0,0,0,0,1808,1901
Chaucer,0,0,English,1,0,0,0,0,0,0,1400,1400
Christian Schreiber,0,0,German,0,1,0,0,0,0,0,1805,
Christian Wilhelm von Dohm,1,0,German,0,1,0,0,0,0,0,1781,
Cicero,1,0,Latin,0,0,0,0,0,0,1,-51,1854
Clausewitz,0,0,German,0,1,0,0,0,0,0,1832,1873
Copernicus,0,0,Latin,0,0,0,0,0,0,1,1543,1910
Dante Alighieri,0,0,Italian,0,0,0,0,1,0,0,1320,1785
David Ricardo,1,0,English,1,0,0,0,0,0,0,1817,1817
Descartes,0,0,French,0,0,1,0,0,0,0,1637,1649
Dietrich Tiedemann,0,0,German,0,1,0,0,0,0,0,1791,
Dilthey,0,0,German,0,1,0,0,0,0,0,1883,1989
Dostoyevsky,0,0,Russian,0,0,0,0,0,0,0,1866,1885
Dryden,0,0,English,1,0,0,0,0,0,0,1677,1677
Durkheim,0,0,French,0,0,1,0,0,0,0,1893,1997
E T A Hoffmann,0,0,German,0,1,0,0,0,0,0,1815,1824
Ebbinghaus,0,0,German,0,1,0,0,0,0,0,1885,1913
Edmund Burke,1,0,English,1,0,0,0,0,0,0,1790,1790
Edmund Spenser,1,0,English,1,0,0,0,0,0,0,1590,1590
Eduard Beneke,0,0,German,0,1,0,0,0,0,0,1825,
Eduard Bernstein,1,1,German,0,1,0,0,0,0,0,1899,1909
Eduard Zeller,0,0,German,0,1,0,0,0,0,0,1844,1886
Eduard von Hartmann,0,0,German,0,1,0,0,0,0,0,1869,1884
Edward Bellamy,1,1,English,1,0,0,0,0,0,0,1888,1888
Edward Haies,0,0,English,1,0,0,0,0,0,0,1583,1583
Edward Jenner,0,0,English,1,0,0,0,0,0,0,1798,1798
Epictetus,0,0,Greek,0,0,0,0,0,1,0,135,1750
Eugen Dühring,0,1,German,0,1,0,0,0,0,0,1872,
Euripides,0,0,Greek,0,0,0,0,0,1,0,-406,1781
Faraday,0,0,English,1,0,0,0,0,0,0,1827,1827
Ferdinand Lassalle,1,1,German,0,1,0,0,0,0,0,1863,1884
Ferdinand Tönnies,1,0,German,0,1,0,0,0,0,0,1887,1940
Fichte,0,0,German,0,1,0,0,0,0,0,1794,1868
Francis Bacon,0,0,English,1,0,0,0,0,0,0,1597,1597
Francis Pretty,0,0,English,1,0,0,0,0,0,0,1580,1580
Franz Brentano,0,0,German,0,1,0,0,0,0,0,1874,1973
Frederick Douglass,1,0,English,1,0,0,0,0,0,0,1845,1845
Frege,0,0,German,0,1,0,0,0,0,0,1879,1972
Friedrich Ast,0,0,German,0,1,0,0,0,0,0,1816,
Friedrich Carl von Savigny,0,0,German,0,1,0,0,0,0,0,1803,1848
Friedrich Heinrich Jacobi,0,0,German,0,1,0,0,0,0,0,1781,1994
Friedrich Krause,0,0,German,0,1,0,0,0,0,0,1804,
Friedrich List,1,0,German,0,1,0,0,0,0,0,1841,1909
Friedrich Schiller,0,0,German,0,1,0,0,0,0,0,1799,1800
Friedrich Schlegel,0,0,German,0,1,0,0,0,0,0,1798,
Fritz Schultze,0,0,German,0,1,0,0,0,0,0,1871,
Froissart,1,0,French,0,0,1,0,0,0,0,1404,1523
Goethe,0,0,German,0,1,0,0,0,0,0,1808,1821
Gotthold Ephraim Lessing,0,0,German,0,1,0,0,0,0,0,1748,1825
Gottlob Ernst Schulze,0,0,German,0,1,0,0,0,0,0,1792,
Grimmelshausen,0,0,German,0,1,0,0,0,0,0,1668,1912
Gustav Freytag,0,0,German,0,1,0,0,0,0,0,1855,1857
Gustav Schönberg,1,0,German,0,1,0,0,0,0,0,1871,
Hamann,0,0,German,0,1,0,0,0,0,0,1759,1967
Hans Christian Andersen,0,0,English,1,0,0,0,0,0,0,1848,1848
Hegel,0,0,German,0,1,0,0,0,0,0,1807,1967
Heinrich Feder,0,0,German,0,1,0,0,0,0,0,1787,
Helmholtz,0,0,German,0,1,0,0,0,0,0,1847,1847
Henry Fielding,0,0,English,1,0,0,0,0,0,0,1749,1749
Henry George,1,1,English,1,0,0,0,0,0,0,1879,1879
Herbart,0,0,German,0,1,0,0,0,0,0,1813,1891
Herbert Spencer,1,0,English,1,0,0,0,0,0,0,1851,1851
Herder,0,0,German,0,1,0,0,0,0,0,1784,1800
Hermann Cohen,0,0,German,0,1,0,0,0,0,0,1919,1971
Hermann Lotze,0,0,German,0,1,0,0,0,0,0,1856,1885
Herodotus,1,0,Greek,0,0,0,0,0,1,0,-430,1849
Hippocrates,0,0,Greek,0,0,0,0,0,1,0,-400,1597
Hippolyte Taine,0,0,French,0,0,1,0,0,0,0,1853,1865
Hobbes,1,0,English,1,0,0,0,0,0,0,1651,1651
Homer,0,0,Greek,0,0,0,0,0,1,0,-700,1598
Hume,1,0,English,1,0,0,0,0,0,0,1763,1763
Hölderlin,0,0,German,0,1,0,0,0,0,0,1797,1965
Immanuel Kant,0,0,German,0,1,0,0,0,0,0,1785,1895
Izaak Walton,0,0,English,1,0,0,0,0,0,0,1653,1653
James Fitzjames Stephen,1,0,English,1,0,0,0,0,0,0,1862,1862
James Madison,1,0,English,1,0,0,0,0,0,0,1787,1787
Jean Racine,0,0,French,0,0,1,0,0,0,0,1664,1667
John Bunyan,0,0,English,1,0,0,0,0,0,0,1678,1678
John C Calhoun,1,0,English,1,0,0,0,0,0,0,1851,1851
John Calvin,0,0,Latin,0,0,0,0,0,0,1,1536,1559
John Knox,0,0,English,1,0,0,0,0,0,0,1548,1548
John Locke,1,0,English,1,0,0,0,0,0,0,1689,1689
John Milton,1,0,English,1,0,0,0,0,0,0,1644,1644
John Ruskin,1,1,English,1,0,0,0,0,0,0,1860,1860
John Stuart Mill,1,0,English,1,0,0,0,0,0,0,1848,1848
John Woolman,1,0,English,1,0,0,0,0,0,0,1774,1774
Jonathan Swift,1,0,English,1,0,0,0,0,0,0,1729,1729
Joseph Lister,0,0,English,1,0,0,0,0,0,0,1853,1853
Kafka,0,0,German,0,1,0,0,0,0,0,1915,1937
Karl Knies,1,0,German,0,1,0,0,0,0,0,1853,
Kelvin,0,0,English,1,0,0,0,0,0,0,1841,1841
Kempis,0,0,Latin,0,0,0,0,0,0,1,1418,1470
Kropotkin,1,1,English,1,0,0,0,0,0,0,1902,1902
Kuno Fischer,0,0,German,0,1,0,0,0,0,0,1854,
Külpe,0,0,German,0,1,0,0,0,0,0,1893,1895
Laspeyres,0,1,German,0,1,0,0,0,0,0,1871,
Leibniz,0,0,Latin,0,0,0,0,0,0,1,1666,1951
Lord Acton,1,0,English,1,0,0,0,0,0,0,1877,1877
Lord Byron,0,0,English,1,0,0,0,0,0,0,1819,1819
Ludwig Büchner,0,0,German,0,1,0,0,0,0,0,1855,1864
Ludwig Feuerbach,0,0,German,0,1,0,0,0,0,0,1841,1854
Lujo Brentano,1,1,English,1,0,0,0,0,0,0,1871,1870
Machiavelli,1,0,Italian,0,0,0,0,1,0,0,1532,1640
Mainländer,0,0,German,0,1,0,0,0,0,0,1876,
Malory,0,0,English,1,0,0,0,0,0,0,1485,1485
Malthus,1,0,English,1,0,0,0,0,0,0,1798,1798
Marcus Aurelius,0,0,Greek,0,0,0,0,0,1,0,170,1634
Marlowe,0,0,English,1,0,0,0,0,0,0,1589,1589
Martin Luther,0,0,German,0,1,0,0,0,0,0,1517,1830
Max Stirner,1,0,German,0,1,0,0,0,0,0,1845,1907
Mazzini,1,0,Italian,0,0,0,0,1,0,0,1825,1840
Molière,0,0,French,0,0,1,0,0,0,0,1645,1714
Montaigne,0,0,French,0,0,1,0,0,0,0,1580,1603
Montesquieu,1,0,French,0,0,1,0,0,0,0,1748,1750
Moses Hess,1,1,German,0,1,0,0,0,0,0,1842,1846
Moses Mendelssohn,0,0,German,0,1,0,0,0,0,0,1767,
Nassau Senior,1,0,English,1,0,0,0,0,0,0,1827,1827
Natorp,0,0,German,0,1,0,0,0,0,0,1910,
Newton,0,0,Latin,0,0,0,0,0,0,1,1687,1729
Nietzsche,0,0,German,0,1,0,0,0,0,0,1883,1896
Oliver Goldsmith,0,0,English,1,0,0,0,0,0,0,1773,1773
Oliver Wendell Holmes,1,0,English,1,0,0,0,0,0,0,1895,1895
Oscar Wilde,1,1,English,1,0,0,0,0,0,0,1891,1891
Otto Liebmann,0,0,German,0,1,0,0,0,0,0,1865,
Otto Pfleiderer,0,0,English,1,0,0,0,0,0,0,1881,1890
Pasteur,0,0,French,0,0,1,0,0,0,0,1866,1882
Pedro Calderón de la Barca,0,0,Spanish,0,0,0,1,0,0,0,1623,1667
Percy Bysshe Shelley,0,0,English,1,0,0,0,0,0,0,1819,1819
Pericles,1,0,Greek,0,0,0,0,0,1,0,-404,1628
Philip Nichols,0,0,English,1,0,0,0,0,0,0,1626,1626
Pierre Corneille,0,0,French,0,0,1,0,0,0,0,1629,1637
Plato,1,0,Greek,0,0,0,0,0,1,0,-400,1763
Pliny the Younger,0,0,Latin,0,0,0,0,0,0,1,-113,1900
Plutarch,1,0,Greek,0,0,0,0,0,1,0,-120,1579
Proudhon,1,1,French,0,0,1,0,0,0,0,1840,1890
Ralph Waldo Emerson,0,0,English,1,0,0,0,0,0,0,1841,1841
Ranke,0,0,German,0,1,0,0,0,0,0,1834,1840
Renan,1,0,French,0,0,1,0,0,0,0,1848,1862
Richard Cobden,1,0,English,1,0,0,0,0,0,0,1835,1835
Rilke,0,0,German,0,1,0,0,0,0,0,1910,1930
Robert Browning,0,0,English,1,0,0,0,0,0,0,1843,1843
Robert Burns,0,0,English,1,0,0,0,0,0,0,1793,1793
Robert Owen,1,1,English,1,0,0,0,0,0,0,1813,1813
Rodbertus,1,1,German,0,1,0,0,0,0,0,1850,1898
Rousseau,1,0,French,0,0,1,0,0,0,0,1762,1913
Rudolf Haym,0,0,German,0,1,0,0,0,0,0,1857,
Sainte Beuve,0,0,French,0,0,1,0,0,0,0,1828,1868
Samuel Johnson,0,0,English,1,0,0,0,0,0,0,1755,1755
Scheler,0,0,German,0,1,0,0,0,0,0,1913,1954
Schleiermacher,0,0,German,0,1,0,0,0,0,0,1834,1850
Schmoller,1,0,German,0,1,0,0,0,0,0,1884,1897
Schopenhauer,0,0,German,0,1,0,0,0,0,0,1818,1883
Schäffle,1,0,German,0,1,0,0,0,0,0,1874,1890
Sigismund Beck,0,0,German,0,1,0,0,0,0,0,1793,
Simmel,0,0,German,0,1,0,0,0,0,0,1900,1978
Simon Newcomb,0,0,English,1,0,0,0,0,0,0,1878,1878
Sismondi,1,1,French,0,0,1,0,0,0,0,1815,1847
Sombart,1,1,German,0,1,0,0,0,0,0,1905,1909
Sophocles,0,0,Greek,0,0,0,0,0,1,0,-405,1649
Spinoza,0,0,Latin,0,0,0,0,0,0,1,1677,1856
Tacitus,1,0,Latin,0,0,0,0,0,0,1,-100,1591
Theodor Fontane,0,0,German,0,1,0,0,0,0,0,1894,1914
Theodor Lipps,0,0,German,0,1,0,0,0,0,0,1903,
Thomas Abbt,0,0,German,0,1,0,0,0,0,0,1761,
Thomas Browne,0,0,English,1,0,0,0,0,0,0,1643,1643
Thomas Carlyle,1,1,English,1,0,0,0,0,0,0,1837,1837
Thomas Jefferson,1,0,English,1,0,0,0,0,0,0,1776,1776
Thomas Mann,0,0,German,0,1,0,0,0,0,0,1901,1924
Thomas More,1,0,Latin,0,0,0,0,0,0,1,1516,1551
Thoreau,0,0,English,1,0,0,0,0,0,0,1854,1854
Thucydides,1,0,Greek,0,0,0,0,0,1,0,-400,1628
Thünen,0,0,German,0,1,0,0,0,0,0,1826,1966
Tocqueville,1,0,French,0,0,1,0,0,0,0,1835,1835
Victor Hugo,0,0,French,0,0,1,0,0,0,0,1831,1833
Virgil,0,0,Latin,0,0,0,0,0,0,1,-19,1697
Voltaire,1,0,French,0,0,1,0,0,0,0,1731,1950
Walt Whitman,0,0,English,1,0,0,0,0,0,0,1855,1855
Walter Raleigh,0,0,English,1,0,0,0,0,0,0,1614,1614
Wentscher,0,0,German,0,1,0,0,0,0,0,1896,
Wilhelm Drobisch,0,0,German,0,1,0,0,0,0,0,1836,
Wilhelm Roscher,1,0,German,0,1,0,0,0,0,0,1843,
Wilhelm von Humboldt,1,0,German,0,1,0,0,0,0,0,1852,1854
William Caxton,0,0,English,1,0,0,0,0,0,0,1471,1471
William Godwin,1,0,English,1,0,0,0,0,0,0,1793,1793
William Graham Sumner,1,0,English,1,0,0,0,0,0,0,1883,1883
William Harrison,0,0,English,1,0,0,0,0,0,0,1557,1557
William Harvey,0,0,Latin,0,0,0,0,0,0,1,1628,1909
William Penn,1,0,English,1,0,0,0,0,0,0,1682,1682
William Roper,0,0,English,1,0,0,0,0,0,0,1626,1626
William Wordsworth,0,0,English,1,0,0,0,0,0,0,1798,1798
Windelband,0,0,German,0,1,0,0,0,0,0,1893,1901
Wollstonecraft,1,0,English,1,0,0,0,0,0,0,1792,1792
Wundt,0,0,German,0,1,0,0,0,0,0,1896,1897
de Gouges,1,0,French,0,0,1,0,0,0,0,1791,1979
